T.Fe%,CaO%,MgO%,SiO2%,Al2O3%,MnO%,P%,Cr2O3%,AI
52.81,12.24,2.22,6.17,2.59,0.194,0.062,0.035,6.07
52.60,12.62,2.41,6.03,2.67,0.667,0.068,0.031,6.27
53.14,12.01,2.23,5.76,2.55,0.162,0.063,0.032,6.33
52.63,12.57,2.35,5.87,2.58,0.429,0.061,0.035,6.13
53.30,11.63,2.26,6.39,2.60,0.105,0.063,0.031,6.60
52.68,12.47,2.40,5.80,2.63,0.379,0.064,0.036,6.13
52.69,12.63,2.44,6.53,2.70,0.121,0.065,0.031,6.20
52.39,12.96,2.44,5.95,2.63,0.405,0.063,0.031,6.33
52.60,12.69,2.47,6.39,2.58,0.137,0.066,0.030,6.00
52.56,12.70,2.62,6.47,2.60,0.410,0.064,0.030,5.73
52.59,12.70,2.34,6.73,2.60,0.140,0.063,0.029,6.20
52.78,12.33,2.30,6.34,2.63,0.442,0.069,0.031,5.67
53.25,11.78,2.44,6.54,2.54,0.139,0.064,0.031,6.13
53.47,11.57,2.16,5.89,2.53,0.112,0.062,0.036,5.67
52.51,12.78,2.50,6.45,2.55,0.251,0.064,0.031,6.27
53.09,11.93,2.39,5.91,2.54,0.138,0.060,0.035,6.00
53.04,12.09,2.43,6.01,2.57,0.170,0.066,0.031,5.80
53.88,11.88,2.38,5.48,2.46,0.079,0.066,0.035,5.93
52.98,12.05,2.47,6.45,2.64,0.192,0.077,0.032,6.00
53.50,11.28,2.05,6.04,2.54,0.077,0.066,0.032,6.27
52.58,12.45,2.58,6.16,2.66,0.180,0.072,0.038,6.33
53.29,11.50,2.48,5.82,2.58,0.074,0.068,0.039,6.47
53.39,11.56,2.30,5.70,2.55,0.077,0.066,0.035,6.27
53.30,11.62,2.36,6.13,2.61,0.067,0.072,0.032,5.93
52.46,12.33,2.63,7.62,2.72,0.208,0.063,0.031,5.93
53.30,11.24,2.47,6.45,2.62,0.103,0.058,0.035,6.60
52.99,11.57,2.74,7.71,2.69,0.260,0.059,0.033,6.33
53.66,11.04,2.37,5.83,2.55,0.111,0.056,0.034,6.47
53.75,10.88,2.26,6.09,2.58,0.062,0.058,0.032,6.20
53.54,11.59,2.35,5.45,2.54,0.065,0.068,0.032,6.00
53.09,12.17,2.47,5.42,2.62,0.063,0.064,0.033,6.07
53.12,11.91,2.65,5.80,2.55,0.084,0.060,0.032,5.60
53.32,11.86,2.37,5.47,2.61,0.099,0.067,0.030,5.33
53.33,11.53,2.41,6.15,2.63,0.070,0.069,0.031,6.27
53.30,11.42,2.54,5.83,2.64,0.273,0.070,0.033,6.67
53.55,11.23,2.30,5.14,2.65,0.077,0.068,0.039,6.47
52.97,11.81,2.66,6.00,2.67,0.400,0.073,0.035,6.53
53.28,11.78,2.51,5.57,2.63,0.077,0.071,0.032,6.47
53.11,11.64,2.53,5.53,2.71,0.602,0.075,0.037,6.33
53.13,11.88,2.39,5.96,2.66,0.223,0.076,0.031,6.07
53.74,11.06,2.13,5.47,2.52,0.150,0.064,0.031,6.73
53.30,11.80,2.37,4.92,2.53,0.232,0.063,0.032,6.67
53.39,11.60,2.32,5.04,2.46,0.123,0.057,0.036,6.73
53.27,11.77,2.30,5.64,2.58,0.248,0.065,0.031,6.33
53.48,11.66,2.17,5.26,2.52,0.087,0.062,0.030,6.13
54.80,9.68,2.13,5.57,2.74,0.088,0.073,0.031,7.20
54.69,9.84,1.96,5.41,2.74,0.072,0.073,0.030,7.13
54.06,10.62,2.21,5.10,2.56,0.051,0.065,0.037,6.60
53.99,10.94,2.45,4.55,2.50,0.044,0.066,0.031,6.47
53.95,10.93,2.53,4.47,2.59,0.046,0.067,0.032,6.73
53.60,11.19,2.40,4.77,2.63,0.047,0.072,0.032,6.47
53.39,11.56,2.60,5.22,2.62,0.045,0.073,0.030,6.67
53.49,11.63,2.67,5.00,2.58,0.040,0.067,0.032,7.00
53.57,11.35,2.70,4.59,2.52,0.040,0.068,0.031,6.20
53.63,11.31,2.53,4.91,2.62,0.046,0.075,0.032,6.33
53.28,11.69,2.76,5.00,2.52,0.048,0.066,0.032,6.60
53.46,11.78,2.69,5.07,2.55,0.061,0.066,0.030,6.73
53.59,11.42,2.53,4.50,2.52,0.049,0.061,0.038,6.80
53.44,11.54,2.48,5.15,2.52,0.052,0.066,0.031,6.60
53.64,11.12,2.48,5.67,2.59,0.049,0.077,0.029,5.73
53.53,11.07,2.99,5.39,2.50,0.064,0.064,0.039,6.00
53.90,10.87,2.49,4.66,2.57,0.046,0.062,0.032,5.87
53.78,10.94,2.48,5.58,2.59,0.051,0.062,0.031,6.40
53.67,11.00,2.59,5.13,2.50,0.048,0.062,0.034,6.87
53.54,11.48,2.58,5.43,2.58,0.082,0.066,0.030,6.53
52.99,12.13,2.82,5.16,2.60,0.050,0.072,0.031,6.67
53.40,11.49,2.48,5.05,2.62,0.057,0.068,0.032,7.00
53.35,11.49,2.62,5.89,2.71,0.076,0.070,0.030,6.80
53.29,11.49,2.76,5.51,2.68,0.101,0.069,0.031,6.73
53.36,11.52,2.61,5.12,2.66,0.062,0.068,0.030,6.20
53.03,12.22,2.73,5.66,2.59,0.081,0.068,0.030,6.00
52.73,12.38,2.70,5.36,2.62,0.093,0.067,0.031,5.73
53.09,11.95,2.69,5.33,2.58,0.111,0.065,0.031,6.00
52.93,11.98,2.58,5.95,2.74,0.106,0.070,0.028,6.67
52.74,12.09,2.70,6.11,2.77,0.089,0.068,0.027,5.40
53.13,11.44,2.52,5.57,2.76,0.094,0.066,0.031,6.47
53.36,11.54,2.62,5.20,2.68,0.126,0.069,0.028,6.27
53.45,11.46,2.51,4.89,2.59,0.079,0.067,0.029,6.27
53.30,11.48,2.57,5.75,2.71,0.231,0.072,0.028,6.67
53.56,11.21,2.30,4.83,2.67,0.105,0.063,0.030,6.67
53.23,11.67,2.73,6.41,2.70,0.221,0.068,0.026,6.87
53.59,11.02,2.56,5.61,2.63,0.257,0.063,0.029,6.13
53.49,11.13,2.55,5.75,2.56,0.383,0.068,0.031,6.87
53.74,11.08,2.42,4.95,2.59,0.125,0.066,0.032,6.93
53.26,11.25,2.63,5.74,2.68,0.441,0.075,0.033,6.40
53.62,10.64,2.39,5.36,2.65,0.938,0.071,0.033,6.93
53.04,11.86,2.87,5.96,2.64,0.332,0.071,0.031,6.47
53.25,11.56,2.59,5.09,2.65,0.122,0.068,0.034,6.40
53.33,11.40,2.48,5.32,2.64,0.186,0.069,0.033,6.60
53.58,11.24,2.43,5.19,2.61,0.226,0.071,0.029,6.80
53.32,11.73,2.49,4.78,2.63,0.102,0.070,0.031,6.47
53.27,11.79,2.54,5.22,2.61,0.094,0.071,0.030,6.73
52.81,12.47,2.58,5.31,2.61,0.123,0.065,0.030,6.13
52.28,12.89,2.68,6.16,2.68,0.413,0.071,0.029,6.27
53.04,12.17,2.48,4.97,2.63,0.133,0.068,0.030,6.33
53.03,12.00,2.66,5.58,2.66,0.233,0.071,0.031,6.40
53.28,11.62,2.54,5.03,2.62,0.231,0.070,0.033,6.33
52.78,12.34,2.54,5.37,2.63,0.500,0.076,0.031,6.40
53.06,12.20,2.49,4.86,2.57,0.127,0.066,0.030,6.80
52.74,12.59,2.46,5.58,2.65,0.109,0.074,0.030,6.00
52.72,12.55,2.58,5.06,2.70,0.153,0.065,0.030,6.80
52.83,12.43,2.61,5.48,2.59,0.085,0.069,0.031,6.07
52.50,13.02,3.00,5.08,2.54,0.065,0.064,0.031,6.47
53.16,11.94,2.50,5.54,2.50,0.101,0.071,0.030,6.07
53.17,11.99,2.54,4.95,2.58,0.056,0.067,0.030,6.40
52.80,12.29,2.68,5.39,2.58,0.181,0.071,0.030,6.47
52.27,13.24,2.86,5.52,2.59,0.076,0.066,0.029,6.40
52.95,12.15,2.48,5.56,2.55,0.245,0.068,0.031,6.53
52.53,12.71,2.88,5.35,2.55,0.079,0.065,0.031,6.47
53.18,11.84,2.47,5.85,2.60,0.324,0.071,0.032,6.67
52.67,12.57,2.79,5.00,2.58,0.097,0.067,0.032,6.27
52.57,12.75,3.02,5.42,2.54,0.084,0.064,0.032,6.40
52.68,12.55,2.64,5.79,2.58,0.073,0.074,0.033,6.20
52.58,12.84,2.95,5.51,2.58,0.049,0.065,0.030,6.27
52.53,12.57,2.71,6.16,2.63,0.436,0.072,0.031,6.07
52.30,13.07,2.80,5.12,2.62,0.061,0.064,0.033,6.60
52.22,12.84,2.69,6.06,2.60,0.460,0.068,0.035,6.67
52.55,12.64,2.54,5.56,2.65,0.121,0.067,0.032,6.47
52.44,12.72,2.61,5.88,2.64,0.455,0.071,0.033,6.67
52.72,12.78,2.52,5.29,2.58,0.140,0.067,0.031,6.47
52.65,12.80,2.23,5.48,2.65,0.410,0.067,0.030,6.67
52.71,12.65,2.71,4.92,2.54,0.143,0.065,0.032,6.47
52.45,12.71,2.87,5.75,2.57,0.420,0.067,0.034,6.33
52.73,12.85,2.68,4.93,2.54,0.088,0.066,0.030,6.07
52.61,12.64,2.78,4.92,2.54,0.415,0.067,0.032,6.40
52.57,12.99,2.65,4.86,2.53,0.113,0.065,0.033,6.53
52.62,12.87,2.54,5.02,2.55,0.363,0.068,0.031,6.00
52.52,13.00,2.70,4.81,2.55,0.110,0.063,0.030,6.87
52.69,12.60,2.83,5.45,2.55,0.462,0.069,0.030,5.93
53.06,12.23,2.76,5.47,2.52,0.088,0.064,0.029,6.39
52.98,12.11,2.55,4.90,2.54,0.103,0.066,0.033,6.40
53.20,12.10,2.55,5.13,2.53,0.089,0.069,0.030,6.60
53.05,12.54,2.65,4.76,2.46,0.085,0.064,0.029,6.13
52.81,12.49,2.83,5.19,2.48,0.090,0.066,0.031,5.93
52.83,12.36,2.73,5.41,2.49,0.068,0.064,0.030,6.60
53.20,11.96,2.48,4.47,2.52,0.092,0.066,0.033,6.27
53.32,11.72,2.53,4.52,2.46,0.079,0.061,0.032,6.40
52.77,12.34,2.50,5.47,2.52,0.555,0.068,0.032,5.60
52.86,12.35,2.57,5.23,2.54,0.232,0.068,0.031,6.53
53.23,11.74,2.49,5.03,2.45,0.678,0.071,0.032,5.80
53.10,11.88,2.54,5.26,2.56,0.112,0.067,0.033,6.20
52.87,12.05,2.58,5.75,2.56,0.513,0.068,0.032,5.67
53.17,11.82,2.59,5.40,2.55,0.097,0.066,0.031,5.80
52.59,12.44,2.69,6.20,2.51,0.425,0.065,0.031,5.93
52.80,12.26,2.53,5.58,2.48,0.099,0.061,0.031,6.73
53.09,11.73,2.73,5.93,2.50,0.389,0.067,0.033,6.40
52.86,12.01,2.77,5.90,2.49,0.083,0.060,0.032,6.07
53.06,11.96,2.54,5.44,2.48,0.398,0.068,0.032,6.00
53.26,11.74,2.48,4.87,2.51,0.112,0.063,0.032,6.47
52.78,12.16,2.60,5.19,2.47,0.343,0.066,0.032,6.07
53.04,11.92,2.33,5.37,2.59,0.073,0.061,0.032,6.80
52.87,12.17,2.37,5.35,2.51,0.345,0.064,0.030,6.47
